Leap Controller X;Leap Controller Y;Leap Controller Z;Reference Index X;Reference Index Y;Reference Index Z;Measured Index X;Measured Index Y;Measured Index Z;Reference Wrist X;Reference Wrist Y;Reference Wrist Z;Measured Wrist X;Measured Wrist Y;Measured Wrist Z;Reference Thumb X;Reference Thumb Y;Reference Thumb Z;Measured Thumb X;Measured Thumb Y;Measured Thumb Z
0.08;0.04;0.0085;0.0302;0.1095;0.15;0.03463252;0.09117846;0.1371599;0.004;-0.048;0.15;0.003560521;-0.04831897;0.1578951;0.04629;0.05559999;0.15;0.05052647;0.0516801;0.1534228
0.12;0.04;0.0085;0.0302;0.1095;0.15;0.03476721;0.09400299;0.1359732;0.004;-0.048;0.15;0.004382119;-0.04791953;0.1578654;0.04629;0.05559999;0.15;0.04811729;0.05474532;0.1505882
0.16;0.04;0.0085;0.0302;0.1095;0.15;0.03773138;0.09821376;0.1345311;0.004;-0.048;0.15;0.00429453;-0.0479769;0.1591549;0.04629;0.05559999;0.15;0.05203472;0.0551995;0.1457904
0.2;0.04;0.0085;0.0302;0.1095;0.15;0.04027802;0.1000522;0.1349146;0.004;-0.048;0.15;0.003852546;-0.05023266;0.158692;0.04629;0.05559999;0.15;0.05613729;0.05586215;0.1432773
0.24;0.04;0.0085;0.0302;0.1095;0.15;0.04108573;0.102394;0.1351649;0.004;-0.048;0.15;0.005343422;-0.05039906;0.1539778;0.04629;0.05559999;0.15;0.05494441;0.05768385;0.1442132
0.28;0.04;0.0085;0.0302;0.1095;0.15;0.04326573;0.0969342;0.1325465;0.004;-0.048;0.15;0.01269543;-0.05259614;0.1509526;0.04629;0.05559999;0.15;0.05432478;0.05514773;0.1420311
0.32;0.04;0.0085;0.0302;0.1095;0.15;0.04773188;0.09604689;0.129315;0.004;-0.048;0.15;0.01825783;-0.04631456;0.1456947;0.04629;0.05559999;0.15;0.05983403;0.05512861;0.1394559
0.32;0.08;0.0085;0.0302;0.1095;0.15;0.05016181;0.09182736;0.1282842;0.004;-0.048;0.15;0.02091977;-0.04057048;0.1456527;0.04629;0.05559999;0.15;0.0677641;0.04907656;0.1354058
0.28;0.08;0.0085;0.0302;0.1095;0.15;0.04583034;0.0982522;0.1305684;0.004;-0.048;0.15;0.01505217;-0.04245971;0.1495032;0.04629;0.05559999;0.15;0.05894002;0.05427092;0.1394121
0.24;0.08;0.0085;0.0302;0.1095;0.15;0.04151191;0.101265;0.1324768;0.004;-0.048;0.15;0.008369371;-0.04343821;0.1540461;0.04629;0.05559999;0.15;0.05443518;0.05642338;0.1423818
0.2;0.08;0.0085;0.0302;0.1095;0.15;0.03880449;0.1021802;0.1339658;0.004;-0.048;0.15;0.007423148;-0.04411335;0.1552486;0.04629;0.05559999;0.15;0.0527337;0.05574733;0.1438132
0.16;0.08;0.0085;0.0302;0.1095;0.15;0.03687827;0.1009241;0.1360907;0.004;-0.048;0.15;0.007017016;-0.04151416;0.1557516;0.04629;0.05559999;0.15;0.05132744;0.05303578;0.1458522
0.12;0.08;0.0085;0.0302;0.1095;0.15;0.03310816;0.09674886;0.1398084;0.004;-0.048;0.15;0.005357966;-0.0441011;0.1567544;0.04629;0.05559999;0.15;0.04960225;0.04985198;0.1514268
0.12;0.12;0.0085;0.0302;0.1095;0.15;0.03133826;0.1004075;0.1433978;0.004;-0.048;0.15;0.003782228;-0.04323065;0.1617166;0.04629;0.05559999;0.15;0.0487875;0.04832988;0.1496884
0.16;0.12;0.0085;0.0302;0.1095;0.15;0.03261273;0.0997154;0.1415366;0.004;-0.048;0.15;0.006141081;-0.04071973;0.1584999;0.04629;0.05559999;0.15;0.04631652;0.05038314;0.1465393
0.2;0.12;0.0085;0.0302;0.1095;0.15;0.03648266;0.1031599;0.1360894;0.004;-0.048;0.15;0.008657157;-0.03916419;0.1542641;0.04629;0.05559999;0.15;0.04761401;0.05440057;0.1433154
0.24;0.12;0.0085;0.0302;0.1095;0.15;0.03913444;0.102296;0.1343421;0.004;-0.048;0.15;0.01014324;-0.04037891;0.1522287;0.04629;0.05559999;0.15;0.05336773;0.0536607;0.140414
0.28;0.12;0.0085;0.0302;0.1095;0.15;0.0461539;0.1002953;0.1298556;0.004;-0.048;0.15;0.01360101;-0.03723963;0.1488591;0.04629;0.05559999;0.15;0.06187038;0.05064867;0.1372626
0.32;0.12;0.0085;0.0302;0.1095;0.15;0.05396697;0.09619139;0.1244041;0.004;-0.048;0.15;0.02075812;-0.03195468;0.143141;0.04629;0.05559999;0.15;0.07077412;0.0501506;0.1311481
0.32;0.16;0.0085;0.0302;0.1095;0.15;0.06263778;0.0893807;0.1215033;0.004;-0.048;0.15;0.0247736;-0.0277207;0.1431614;0.04629;0.05559999;0.15;0.07400973;0.04433935;0.1294651
0.28;0.16;0.0085;0.0302;0.1095;0.15;0.04908352;0.1018792;0.1272431;0.004;-0.048;0.15;0.01495504;-0.02769834;0.1489378;0.04629;0.05559999;0.15;0.06605546;0.05396843;0.1343548
0.2;0.16;0.0085;0.0302;0.1095;0.15;0.03872499;0.09883603;0.1362633;0.004;-0.048;0.15;0.005718008;-0.03978097;0.1587526;0.04629;0.05559999;0.15;0.04584087;0.05121338;0.1436382
0.16;0.16;0.0085;0.0302;0.1095;0.15;0.03338142;0.09711637;0.1397026;0.004;-0.048;0.15;0.00519602;-0.04180503;0.163091;0.04629;0.05559999;0.15;0.04470357;0.04927859;0.1463368
0.12;0.16;0.0085;0.0302;0.1095;0.15;0.02862068;0.09630427;0.142562;0.004;-0.048;0.15;0.004604347;-0.04446256;0.1652252;0.04629;0.05559999;0.15;0.04632215;0.04705712;0.1478287
0.08;0.16;0.0085;0.0302;0.1095;0.15;0.02503813;0.09804621;0.1465092;0.004;-0.048;0.15;0.009876609;-0.04254358;0.1596435;0.04629;0.05559999;0.15;0.04933388;0.04857972;0.1470314
0.04;0.16;0.0085;0.0302;0.1095;0.15;0.02727249;0.09784374;0.1576531;0.004;-0.048;0.15;0.007773925;-0.04071149;0.1598898;0.04629;0.05559999;0.15;0.05097919;0.05402654;0.1532131
0;0.2;0.0085;0.0302;0.1095;0.15;0.03606634;0.09358925;0.1500474;0.004;-0.048;0.15;0.000324302;-0.02635604;0.1566841;0.04629;0.05559999;0.15;0.0545751;0.05132189;0.1549345
0.04;0.2;0.0085;0.0302;0.1095;0.15;0.02842521;0.09681602;0.1540729;0.004;-0.048;0.15;0.009602038;-0.03441662;0.1576349;0.04629;0.05559999;0.15;0.05222812;0.05512771;0.1555472
0.08;0.2;0.0085;0.0302;0.1095;0.15;0.02493087;0.09920207;0.1449585;0.004;-0.048;0.15;0.009287648;-0.03991908;0.1601753;0.04629;0.05559999;0.15;0.04872445;0.05139667;0.1499638
0.12;0.2;0.0085;0.0302;0.1095;0.15;0.02581427;0.09396249;0.1378362;0.004;-0.048;0.15;0.005699866;-0.04886046;0.1743739;0.04629;0.05559999;0.15;0.04844247;0.04706366;0.1482269
0.16;0.2;0.0085;0.0302;0.1095;0.15;0.03593602;0.09262423;0.1359763;0.004;-0.048;0.15;0.003960565;-0.04320993;0.1676425;0.04629;0.05559999;0.15;0.04949024;0.04515222;0.1455166
0.2;0.2;0.0085;0.0302;0.1095;0.15;0.04158551;0.09609807;0.1327149;0.004;-0.048;0.15;0.004532427;-0.03702952;0.1600405;0.04629;0.05559999;0.15;0.05090411;0.05041076;0.1411504
0.24;0.2;0.0085;0.0302;0.1095;0.15;0.04490454;0.09984241;0.1293898;0.004;-0.048;0.15;0.005469903;-0.02641766;0.1529503;0.04629;0.05559999;0.15;0.05457993;0.055255;0.1358882
0.28;0.2;0.0085;0.0302;0.1095;0.15;0.04996163;0.1016573;0.1264292;0.004;-0.048;0.15;0.01509652;-0.01724869;0.1456984;0.04629;0.05559999;0.15;0.06555575;0.05732203;0.1309681
0.32;0.2;0.0085;0.0302;0.1095;0.15;0.06483015;0.09995126;0.1177205;0.004;-0.048;0.15;0.01799321;-0.01430576;0.1419435;0.04629;0.05559999;0.15;0.0747648;0.05259304;0.1258061
0.32;0.24;0.0085;0.0302;0.1095;0.15;0.06438091;0.1089492;0.1152928;0.004;-0.048;0.15;0.01680091;-0.01053944;0.1412269;0.04629;0.05559999;0.15;0.07261005;0.06169924;0.1214708
0.28;0.24;0.0085;0.0302;0.1095;0.15;0.05314404;0.1016151;0.1218915;0.004;-0.048;0.15;0.007070154;-0.0163998;0.1480024;0.04629;0.05559999;0.15;0.06373028;0.05512351;0.1286838
0.24;0.24;0.0085;0.0302;0.1095;0.15;0.04410447;0.09975301;0.1284201;0.004;-0.048;0.15;0.00212273;-0.02459401;0.154221;0.04629;0.05559999;0.15;0.05617367;0.05467959;0.1347885
0.2;0.24;0.0085;0.0302;0.1095;0.15;0.03828172;0.09517743;0.1334409;0.004;-0.048;0.15;-0.003759682;-0.03531191;0.1624;0.04629;0.05559999;0.15;0.04961765;0.04967354;0.1424371
0.16;0.24;0.0085;0.0302;0.1095;0.15;0.03159197;0.09048302;0.1366686;0.004;-0.048;0.15;-0.001692295;-0.04236493;0.1687623;0.04629;0.05559999;0.15;0.04956982;0.04381917;0.1453427
0.12;0.24;0.0085;0.0302;0.1095;0.15;0.02398787;0.08911242;0.1378804;0.004;-0.048;0.15;-0.001397379;-0.05150181;0.1744902;0.04629;0.05559999;0.15;0.0466026;0.0448944;0.1493149
0.08;0.24;0.0085;0.0302;0.1095;0.15;0.02169342;0.08627546;0.145257;0.004;-0.048;0.15;0.004594892;-0.04954961;0.1693578;0.04629;0.05559999;0.15;0.04886385;0.04507779;0.1505247
0;0;0.0085;0.0302;0.1095;0.15;0.03979711;0.1050194;0.1632154;0.004;-0.048;0.15;0.001815735;-0.04945815;0.1570543;0.04629;0.05559999;0.15;0.05650815;0.05634458;0.1739327
0.04;0;0.0085;0.0302;0.1095;0.15;0.03626132;0.1033128;0.1480387;0.004;-0.048;0.15;0.003312297;-0.04873922;0.1602696;0.04629;0.05559999;0.15;0.05123441;0.05941842;0.1602935
0.08;0;0.0085;0.0302;0.1095;0.15;0.03454269;0.1029925;0.1411381;0.004;-0.048;0.15;0.004095815;-0.05162597;0.1587611;0.04629;0.05559999;0.15;0.05116086;0.0568518;0.1544077
0.12;0;0.0085;0.0302;0.1095;0.15;0.03371084;0.1035928;0.1389575;0.004;-0.048;0.15;0.003792532;-0.05123897;0.1582169;0.04629;0.05559999;0.15;0.05175444;0.05666215;0.1510893
0.16;0;0.0085;0.0302;0.1095;0.15;0.03262946;0.106734;0.1386174;0.004;-0.048;0.15;0.003501266;-0.05055711;0.1575126;0.04629;0.05559999;0.15;0.0533722;0.05952377;0.1460576
0.2;0;0.0085;0.0302;0.1095;0.15;0.03272755;0.1054691;0.1328188;0.004;-0.048;0.15;0.005463257;-0.05283667;0.1559103;0.04629;0.05559999;0.15;0.05363914;0.05967138;0.1430729
0.24;0;0.0085;0.0302;0.1095;0.15;0.03564888;0.1079618;0.1307353;0.004;-0.048;0.15;0.005941927;-0.05027488;0.1541261;0.04629;0.05559999;0.15;0.05560718;0.06070194;0.1426025
0.28;0;0.0085;0.0302;0.1095;0.15;0.03713024;0.1001121;0.129051;0.004;-0.048;0.15;0.0132595;-0.05351581;0.1478331;0.04629;0.05559999;0.15;0.05672263;0.05577637;0.1410417
0.32;0;0.0085;0.0302;0.1095;0.15;0.04423234;0.1001917;0.1278988;0.004;-0.048;0.15;0.01897869;-0.0487183;0.1451743;0.04629;0.05559999;0.15;0.06603262;0.05518068;0.1370412
0.32;-0.04;0.0085;0.0302;0.1095;0.15;0.04119492;0.09752507;0.130479;0.004;-0.048;0.15;0.01579937;-0.05509823;0.1474528;0.04629;0.05559999;0.15;0.05945325;0.05418137;0.1440736
0.28;-0.04;0.0085;0.0302;0.1095;0.15;0.04275797;0.09868265;0.1317535;0.004;-0.048;0.15;0.009940058;-0.05058;0.1507617;0.04629;0.05559999;0.15;0.05581209;0.05789077;0.1446324
0.24;-0.04;0.0085;0.0302;0.1095;0.15;0.03912671;0.1011086;0.136051;0.004;-0.048;0.15;0.006630033;-0.04613394;0.1534221;0.04629;0.05559999;0.15;0.05252442;0.06079593;0.1467828
0.2;-0.04;0.0085;0.0302;0.1095;0.15;0.03543504;0.09957167;0.1394664;0.004;-0.048;0.15;0.004147694;-0.04610971;0.1554552;0.04629;0.05559999;0.15;0.04887983;0.06135728;0.1486515
0.16;-0.04;0.0085;0.0302;0.1095;0.15;0.03434438;0.09158636;0.1389024;0.004;-0.048;0.15;0.00336504;-0.0453397;0.1569723;0.04629;0.05559999;0.15;0.05178491;0.05325024;0.1469748
0.12;-0.04;0.0085;0.0302;0.1095;0.15;0.03375464;0.09649356;0.1415046;0.004;-0.048;0.15;0.004481286;-0.0501068;0.1575739;0.04629;0.05559999;0.15;0.05360441;0.0569294;0.1493749
0.08;-0.04;0.0085;0.0302;0.1095;0.15;0.03192647;0.09566607;0.1458794;0.004;-0.048;0.15;0.004612692;-0.05307252;0.1564869;0.04629;0.05559999;0.15;0.05311555;0.05685986;0.1534257
0.04;-0.04;0.0085;0.0302;0.1095;0.15;0.03117192;0.09398318;0.1454413;0.004;-0.048;0.15;0.004160494;-0.05265432;0.1575887;0.04629;0.05559999;0.15;0.05416339;0.05604408;0.1566031
