Leap Controller X;Leap Controller Y;Leap Controller Z;Reference Index X;Reference Index Y;Reference Index Z;Measured Index X;Measured Index Y;Measured Index Z;Reference Wrist X;Reference Wrist Y;Reference Wrist Z;Measured Wrist X;Measured Wrist Y;Measured Wrist Z;Reference Thumb X;Reference Thumb Y;Reference Thumb Z;Measured Thumb X;Measured Thumb Y;Measured Thumb Z
0;0.04;0.0085;0.0302;0.1095;0.15;0.02967582;0.09886706;0.1544102;0.004;-0.048;0.15;-0.006301645;-0.04892191;0.1538664;0.04629;0.05559999;0.15;0.04001366;0.05505695;0.1657926
0.04;0.04;0.0085;0.0302;0.1095;0.15;0.02421095;0.09281303;0.1412701;0.004;-0.048;0.15;-0.004669879;-0.05055886;0.1573123;0.04629;0.05559999;0.15;0.04215813;0.05015806;0.1528969
0.08;0.04;0.0085;0.0302;0.1095;0.15;0.02603014;0.08914348;0.1380406;0.004;-0.048;0.15;-0.002425268;-0.04969341;0.1552935;0.04629;0.05559999;0.15;0.04252677;0.04870638;0.1507241
0.12;0.04;0.0085;0.0302;0.1095;0.15;0.02652035;0.09174839;0.1355472;0.004;-0.048;0.15;-0.002654314;-0.04956477;0.1553478;0.04629;0.05559999;0.15;0.03972232;0.05339602;0.1504345
0.16;0.04;0.0085;0.0302;0.1095;0.15;0.02993912;0.09920107;0.133921;0.004;-0.048;0.15;-0.003691435;-0.0488955;0.1559832;0.04629;0.05559999;0.15;0.04498644;0.05511836;0.1444357
0.2;0.04;0.0085;0.0302;0.1095;0.15;0.03309403;0.09952731;0.132952;0.004;-0.048;0.15;-0.003215879;-0.0482138;0.1549213;0.04629;0.05559999;0.15;0.04942255;0.05590115;0.1415143
0.24;0.04;0.0085;0.0302;0.1095;0.15;0.03454266;0.09314048;0.1302533;0.004;-0.048;0.15;0.002806544;-0.05469076;0.1500876;0.04629;0.05559999;0.15;0.04773752;0.05225313;0.1397081
0.28;0.04;0.0085;0.0302;0.1095;0.15;0.03884171;0.09658253;0.1301305;0.004;-0.048;0.15;0.00669989;-0.04907047;0.1469894;0.04629;0.05559999;0.15;0.0494761;0.05523222;0.1399224
0.32;0.04;0.0085;0.0302;0.1095;0.15;0.04187697;0.08655094;0.1265504;0.004;-0.048;0.15;0.0168986;-0.05253018;0.1413773;0.04629;0.05559999;0.15;0.05755654;0.04722657;0.1345609
0.32;0.08;0.0085;0.0302;0.1095;0.15;0.0481573;0.08657468;0.1246282;0.004;-0.048;0.15;0.01733035;-0.04551379;0.1422555;0.04629;0.05559999;0.15;0.06395167;0.04443515;0.1327973
0.28;0.08;0.0085;0.0302;0.1095;0.15;0.03905731;0.08752466;0.1257958;0.004;-0.048;0.15;0.0147256;-0.05222023;0.1446505;0.04629;0.05559999;0.15;0.05543764;0.0426439;0.1360755
0.24;0.08;0.0085;0.0302;0.1095;0.15;0.03499438;0.09247742;0.1289676;0.004;-0.048;0.15;0.008065999;-0.04801461;0.1481751;0.04629;0.05559999;0.15;0.04744583;0.04842785;0.1396415
0.2;0.08;0.0085;0.0302;0.1095;0.15;0.03081849;0.0965164;0.1303995;0.004;-0.048;0.15;0.00430198;-0.04742947;0.1516474;0.04629;0.05559999;0.15;0.04533944;0.05003133;0.1409348
0.16;0.08;0.0085;0.0302;0.1095;0.15;0.02926995;0.09876138;0.1344868;0.004;-0.048;0.15;3.21418E-05;-0.04200916;0.1520381;0.04629;0.05559999;0.15;0.04239456;0.0518595;0.1451918
0.12;0.08;0.0085;0.0302;0.1095;0.15;0.02571651;0.09536347;0.1376465;0.004;-0.048;0.15;-0.002516963;-0.04393525;0.1532529;0.04629;0.05559999;0.15;0.03999747;0.04918502;0.149601
0.08;0.08;0.0085;0.0302;0.1095;0.15;0.02346616;0.09140724;0.1401202;0.004;-0.048;0.15;-0.004047833;-0.04444109;0.1539727;0.04629;0.05559999;0.15;0.0411256;0.04695995;0.1489186
0.04;0.08;0.0085;0.0302;0.1095;0.15;0.0209221;0.09498899;0.1457577;0.004;-0.048;0.15;-0.006680589;-0.04484521;0.1586933;0.04629;0.05559999;0.15;0.04034306;0.04993808;0.1502071
0;0.08;0.0085;0.0302;0.1095;0.15;0.02210091;0.09836285;0.1529527;0.004;-0.048;0.15;-0.006087636;-0.04451768;0.155652;0.04629;0.05559999;0.15;0.03650526;0.05607079;0.1582182
-0.04;0.08;0.0085;0.0302;0.1095;0.15;0.03070354;0.08859508;0.1675223;0.004;-0.048;0.15;-0.007332638;-0.04262738;0.1541337;0.04629;0.05559999;0.15;0.0433746;0.0522626;0.1833783
-0.08;0.08;0.0085;0.0302;0.1095;0.15;0.04020772;0.08998618;0.1778478;0.004;-0.048;0.15;-0.008125842;-0.04194084;0.1531916;0.04629;0.05559999;0.15;0.05427465;0.04633822;0.1929974
-0.08;0.12;0.0085;0.0302;0.1095;0.15;0.03405035;0.08708105;0.1717687;0.004;-0.048;0.15;-0.01121165;-0.03698773;0.151362;0.04629;0.05559999;0.15;0.04569109;0.04842406;0.1872631
-0.04;0.12;0.0085;0.0302;0.1095;0.15;0.0277411;0.09669647;0.1562769;0.004;-0.048;0.15;-0.007375401;-0.0375393;0.153099;0.04629;0.05559999;0.15;0.0371821;0.05807707;0.1686347
0;0.12;0.0085;0.0302;0.1095;0.15;0.0223562;0.1025922;0.1466266;0.004;-0.048;0.15;-0.004303228;-0.04040527;0.1565794;0.04629;0.05559999;0.15;0.03736266;0.05876017;0.155158
0.04;0.12;0.0085;0.0302;0.1095;0.15;0.01829644;0.09815126;0.147355;0.004;-0.048;0.15;-0.0007860772;-0.04447363;0.1601187;0.04629;0.05559999;0.15;0.04221939;0.05118781;0.1486727
0.08;0.12;0.0085;0.0302;0.1095;0.15;0.01917644;0.09969834;0.1447175;0.004;-0.048;0.15;-0.000268124;-0.04671948;0.1594773;0.04629;0.05559999;0.15;0.04241508;0.04821777;0.147237
0.12;0.12;0.0085;0.0302;0.1095;0.15;0.02346559;0.09808063;0.1428498;0.004;-0.048;0.15;-0.004328184;-0.04426264;0.1568818;0.04629;0.05559999;0.15;0.03817141;0.04679268;0.1481683
0.16;0.12;0.0085;0.0302;0.1095;0.15;0.02544424;0.09878957;0.1381239;0.004;-0.048;0.15;-0.0008237809;-0.04113901;0.1547915;0.04629;0.05559999;0.15;0.03628007;0.04981961;0.145125
0.2;0.12;0.0085;0.0302;0.1095;0.15;0.02915655;0.09589156;0.1345917;0.004;-0.048;0.15;0.005965322;-0.0444933;0.1508199;0.04629;0.05559999;0.15;0.04247461;0.04864158;0.1404019
0.24;0.12;0.0085;0.0302;0.1095;0.15;0.03329413;0.1007659;0.1318464;0.004;-0.048;0.15;0.003855541;-0.03785384;0.1481176;0.04629;0.05559999;0.15;0.04522522;0.05247008;0.1381338
